=== SIMPLE LEXICAL ANALYZER OUTPUT ===

------------- SYMBOL TABLE -------------
 Line |   Col | Token           | Lexeme
-------------------------------------------------------
     1 |      1 | COMMENT         | // Simple if
     2 |      1 | KEYWORD         | if
     2 |      3 | WHITESPACE      |  
     2 |      4 | IDENTIFIER      | temperature
     2 |     15 | WHITESPACE      |  
     2 |     16 | REL_OP          | >
     2 |     17 | WHITESPACE      |  
     2 |     18 | INT             | 30:
     2 |      1 | NEWLINE         | \n
     3 |      1 | WHITESPACE      |     
     3 |      5 | KEYWORD         | show
     3 |      9 | WHITESPACE      |  
     3 |     10 | STRING          | It's a hot day.
     3 |      1 | NEWLINE         | \n
     4 |      1 | KEYWORD         | end
     4 |      4 | WHITESPACE      |  
     4 |      5 | KEYWORD         | if
     4 |      1 | NEWLINE         | \n
     5 |      1 | NEWLINE         | \n
     6 |      1 | COMMENT         | // If-else
     7 |      1 | KEYWORD         | if
     7 |      3 | WHITESPACE      |  
     7 |      4 | IDENTIFIER      | score
     7 |      9 | WHITESPACE      |  
     7 |     10 | REL_OP          | >=
     7 |     13 | INT             | 50:
     7 |      1 | NEWLINE         | \n
     8 |      1 | WHITESPACE      |     
     8 |      5 | KEYWORD         | show
     8 |      9 | WHITESPACE      |  
     8 |     10 | STRING          | You passed!
     8 |      1 | NEWLINE         | \n
     9 |      1 | KEYWORD         | else
     9 |      5 | COLON           | :
     9 |      1 | NEWLINE         | \n
    10 |      1 | WHITESPACE      |     
    10 |      5 | KEYWORD         | show
    10 |      9 | WHITESPACE      |  
    10 |     10 | STRING          | Please try again.
    10 |      1 | NEWLINE         | \n
    11 |      1 | KEYWORD         | end
    11 |      4 | WHITESPACE      |  
    11 |      5 | KEYWORD         | if
    11 |      1 | NEWLINE         | \n
    12 |      1 | NEWLINE         | \n
    13 |      1 | COMMENT         | // Nested if-else-if
    14 |      1 | KEYWORD         | if
    14 |      3 | WHITESPACE      |  
    14 |      4 | IDENTIFIER      | grade
    14 |      9 | WHITESPACE      |  
    14 |     10 | REL_OP          | ==
    14 |     13 | STRING          | A
    14 |     16 | COLON           | :
    14 |      1 | NEWLINE         | \n
    15 |      1 | WHITESPACE      |     
    15 |      5 | KEYWORD         | show
    15 |      9 | WHITESPACE      |  
    15 |     10 | STRING          | Excellent!
    15 |      1 | NEWLINE         | \n
    16 |      1 | KEYWORD         | else
    16 |      5 | WHITESPACE      |  
    16 |      6 | KEYWORD         | if
    16 |      8 | WHITESPACE      |  
    16 |      9 | IDENTIFIER      | grade
    16 |     14 | WHITESPACE      |  
    16 |     15 | REL_OP          | ==
    16 |     18 | STRING          | B
    16 |     21 | COLON           | :
    16 |      1 | NEWLINE         | \n
    17 |      1 | WHITESPACE      |     
    17 |      5 | KEYWORD         | show
    17 |      9 | WHITESPACE      |  
    17 |     10 | STRING          | Good job!
    17 |      1 | NEWLINE         | \n
    18 |      1 | KEYWORD         | else
    18 |      5 | WHITESPACE      |  
    18 |      6 | KEYWORD         | if
    18 |      8 | WHITESPACE      |  
    18 |      9 | IDENTIFIER      | grade
    18 |     14 | WHITESPACE      |  
    18 |     15 | REL_OP          | ==
    18 |     18 | STRING          | C
    18 |     21 | COLON           | :
    18 |      1 | NEWLINE         | \n
    19 |      1 | WHITESPACE      |     
    19 |      5 | KEYWORD         | show
    19 |      9 | WHITESPACE      |  
    19 |     10 | STRING          | Well done.
    19 |      1 | NEWLINE         | \n
    20 |      1 | KEYWORD         | else
    20 |      5 | COLON           | :
    20 |      1 | NEWLINE         | \n
    21 |      1 | WHITESPACE      |     
    21 |      5 | KEYWORD         | show
    21 |      9 | WHITESPACE      |  
    21 |     10 | STRING          | Needs improvement.
    21 |      1 | NEWLINE         | \n
    22 |      1 | KEYWORD         | end
    22 |      4 | WHITESPACE      |  
    22 |      5 | KEYWORD         | if
    22 |      7 | LEXICAL_ERROR   | ;
    22 |      1 | NEWLINE         | \n
    23 |      1 | NEWLINE         | \n
    24 |      1 | RESERVED        | object
    24 |      7 | WHITESPACE      |  
    24 |      8 | RESERVED        | main
    24 |      1 | NEWLINE         | \n
    25 |      1 | NEWLINE         | \n
    26 |      1 | WHITESPACE      |     
    26 |      5 | IDENTIFIER      | a
    26 |      6 | WHITESPACE      |  
    26 |      7 | ASSIGN_OP       | =
    26 |      8 | WHITESPACE      |  
    26 |      9 | INT             | 10
    26 |      1 | NEWLINE         | \n
